semantic_field_id,tgt_table_name,tgt_column_name,tgt_table_physical_name,tgt_column_physical_name,tgt_nullable,tgt_physical_datatype,tgt_comments,domain,created_by,created_ts,updated_by,updated_ts,semantic_field
59,MEMBER FOUNDATION,Crt_By_User_Id,MBR_FNDTN,CRT_BY_USER_ID,Not Null,VARCHAR(10),User who created the record,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: User who created the record | TYPE: VARCHAR(10) | DOMAIN: MEMBER
61,MEMBER FOUNDATION,Crt_Dt,MBR_FNDTN,CRT_DTTM,Not Null,TIMESTAMP,Date time when record is created,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Date time when record is created | TYPE: TIMESTAMP | DOMAIN: MEMBER
60,MEMBER FOUNDATION,Curr_Rec_Ind,MBR_FNDTN,CURR_REC_IND,Not Null,CHAR(1),Y/N to indicate whether this is the most current ot Active record.,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Y/N to indicate whether this is the most current ot Active record. | TYPE: CHAR(1) | DOMAIN: MEMBER
53,MEMBER FOUNDATION,Member Foundation Ssk,MBR_FNDTN,MBR_FNDTN_SSK,Not Null,VARCHAR(256),ETL generated column.,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: ETL generated column. | TYPE: VARCHAR(256) | DOMAIN: MEMBER
57,MEMBER FOUNDATION,Member Sk,MBR_FNDTN,MBR_SK,Not Null,BIGINT,Unique identifier for a given member. auto generated key,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Unique identifier for a given member. auto generated key | TYPE: BIGINT | DOMAIN: MEMBER
64,MEMBER FOUNDATION,Rec_Hash_Key,MBR_FNDTN,REC_HASH_KEY,Not Null,VARCHAR(128),Hash Key for each record,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Hash Key for each record | TYPE: VARCHAR(128) | DOMAIN: MEMBER
56,MEMBER FOUNDATION,Source Key Id,MBR_FNDTN,SRC_KEY_ID,Not Null,VARCHAR(32),Identifier of a source key.Member id,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Identifier of a source key.Member id | TYPE: VARCHAR(32) | DOMAIN: MEMBER
65,MEMBER FOUNDATION,Source Key Type Code,MBR_FNDTN,SRC_KEY_TYP_CD,Null,VARCHAR(32),Code which indicates the source key type.,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Code which indicates the source key type. | TYPE: VARCHAR(32) | DOMAIN: MEMBER
58,MEMBER FOUNDATION,Src_Sys_Cd,MBR_FNDTN,SRC_SYS_CD,Not Null,VARCHAR(20),Source System Code,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Source System Code | TYPE: VARCHAR(20) | DOMAIN: MEMBER
55,MEMBER FOUNDATION,Sub_Tenant_Cd,MBR_FNDTN,SUB_TENANT_CD,Not Null,VARCHAR(10),Sub Tenant Code,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Sub Tenant Code | TYPE: VARCHAR(10) | DOMAIN: MEMBER
54,MEMBER FOUNDATION,Tenant_Cd,MBR_FNDTN,TENANT_CD,Not Null,VARCHAR(10),Tenant Code,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Tenant Code | TYPE: VARCHAR(10) | DOMAIN: MEMBER
63,MEMBER FOUNDATION,Upd_By_User_Id,MBR_FNDTN,UPD_BY_USER_ID,Not Null,VARCHAR(10),User who updated the record,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: User who updated the record | TYPE: VARCHAR(10) | DOMAIN: MEMBER
62,MEMBER FOUNDATION,Upd_Dttm,MBR_FNDTN,UPD_DTTM,Not Null,TIMESTAMP,Date time when record is updated,MEMBER,system,2025-11-20T16:17:38.757Z,gainwelltechnologies,2025-11-20T16:17:38.757Z,DESCRIPTION: Date time when record is updated | TYPE: TIMESTAMP | DOMAIN: MEMBER
