mapped_field_id,semantic_field_id,tgt_table_name,tgt_table_physical_name,tgt_column_name,tgt_column_physical_name,tgt_comments,source_expression,source_tables,source_tables_physical,source_columns,source_columns_physical,source_descriptions,source_datatypes,source_domain,source_relationship_type,transformations_applied,confidence_score,mapping_source,ai_reasoning,ai_generated,mapping_status,mapped_by,mapped_ts,updated_by,updated_ts,source_semantic_field
8,105,MEMBER FOUNDATION,MBR_FNDTN,Member Foundation Ssk,MBR_FNDTN_SSK,"It helps identify and differentiate existing records when changes occur or Every time a Member Foundation attribute changes , a new row is inserted with a new SSK.","concat_ws('|', T_RE_BASE.TENANT_CD, T_RE_BASE.SRC_SYS_CD, 'SRC_KEY_ID', cast(T_RE_BASE.SAK_RECIP as varchar(32)))",T_RE_BASE,TENANT_CD|SRC_SYS_CD|SAK_RECIP,TENANT_CD|SRC_SYS_CD|SAK_RECIP,TENANT_CD|SRC_SYS_CD|SAK_RECIP,NA,VARCHAR(50),Member,CONCAT,DERIVED,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: NA | TYPE: VARCHAR(50)
9,111,MEMBER FOUNDATION,MBR_FNDTN,Source Key Id,SRC_KEY_ID,SRC_KEY_ID is a field that represents the recipient�s identifier or key within a state assistance or Medicaid program.,TRIM(SAK_RECIP),T_RE_BASE,SAK_RECIP,SAK_RECIP,SAK_RECIP,SAK_RECIP is a field that represents the recipient�s identifier or key within a state assistance or Medicaid program.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: SAK_RECIP is a field that represents the recipient�s identifier or key within a state assistance or Medicaid program. | TYPE: VARCHAR(50)
10,297,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Change Date,CHG_DT,Change Date � The date when the record was last changed in the source system.,TRIM(DTE_CHANGED),T_RE_PMP_ASSIGN,DTE_CHANGED,DTE_CHANGED,DTE_CHANGED,Change Date � The date when the record was last changed in the source system.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Change Date � The date when the record was last changed in the source system. | TYPE: VARCHAR(50)
11,299,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Provider Sk,PROV_SK,Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record.,"oz_dev.bronze_dmes_de.affiliation.provid = RIGHT(oz_dev.bronze_dmes_de.prov_fndtn.PROV_KEY_ID, NULLIF(CHARINDEX('|', REVERSE(oz_dev.bronze_dmes_de.prov_fndtn.PROV_KEY_ID)), 0) - 1) ",PROV_FNDTN,PROV_SK,PROV_SK,PROV_SK,Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record.,VARCHAR(50),Member,JOIN,LOOKUP,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record. | TYPE: VARCHAR(50)
12,305,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Status Code,STS_CD,Represents the current status of the record in the system.,TRIM(CDE_STATUS1),T_RE_PMP_ASSIGN,CDE_STATUS1,CDE_STATUS1,CDE_STATUS1,CDE_STATUS in these tables is the coded field that represents the status of a member�s plan or provider assignment record.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: CDE_STATUS in these tables is the coded field that represents the status of a member�s plan or provider assignment record. | TYPE: VARCHAR(50)
13,307,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Managed Care Start Reason Code,MNGD_CARE_BGN_RSN_CD,Managed Care Begin Reason Code � Code indicating the reason for starting managed care enrollment.,TRIM(CDE_RSN_MC_START),T_RE_PMP_ASSIGN,CDE_RSN_MC_START,CDE_RSN_MC_START,CDE_RSN_MC_START,Managed Care Begin Reason Code � Code indicating the reason for starting managed care enrollment.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Managed Care Begin Reason Code � Code indicating the reason for starting managed care enrollment. | TYPE: VARCHAR(50)
14,309,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Managed Care Stop Reason Code,MNGD_CARE_STOP_RSN_CD,Managed Care Stop Reason Code � Code indicating the reason for ending managed care enrollment.,TRIM(CDE_RSN_MC_STOP),T_RE_PMP_ASSIGN,CDE_RSN_MC_STOP,CDE_RSN_MC_STOP,CDE_RSN_MC_STOP,Managed Care Stop Reason Code � Code indicating the reason for ending managed care enrollment.,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Managed Care Stop Reason Code � Code indicating the reason for ending managed care enrollment. | TYPE: VARCHAR(50)
15,311,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Source Effective Date,SRC_EFF_DT,Source Effective Date � The date when this record becomes valid in the source system.,TRIM(DTE_EFFECTIVE),T_RE_PMP_ASSIGN,DTE_EFFECTIVE,DTE_EFFECTIVE,DTE_EFFECTIVE,DTE_EFFECTIVE is the date field that records when a member�s Primary Medical Provider (PMP) become active,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: DTE_EFFECTIVE is the date field that records when a member�s Primary Medical Provider (PMP) become active | TYPE: VARCHAR(50)
16,313,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Plan Sk,PLAN_SK,Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record.,oz_dev.bronze_dmes_de.enrollkeys.planid = oz_dev.silver_base.plan_fndtn.src_key_id,PLAN_FNDTN,PLAN_SK,PLAN_SK,PLAN_SK,Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record.,VARCHAR(50),Member,JOIN,LOOKUP,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: Surrogate key that uniquely identifies a MEMBER ASSIGNED PRIMARY CARE PHYSICIAN record. | TYPE: VARCHAR(50)
17,315,MEMBER ASSIGNED PRIMARY CARE PHYSICIAN,MBR_ASSGN_PCP,Source End Date,SRC_END_DT,Represents the end date of the record as provided by the source system.,TRIM(DTE_END),T_RE_PMP_ASSIGN,DTE_END,DTE_END,DTE_END,DTE_END is the date field that records when a member�s Primary Medical Provider (PMP) change ends (expires).,VARCHAR(50),Member,SINGLE,null,0.9,MANUAL,null,false,ACTIVE,gainwelltechnologies,2025-12-10T22:47:52.241Z,null,null,DESCRIPTION: DTE_END is the date field that records when a member�s Primary Medical Provider (PMP) change ends (expires). | TYPE: VARCHAR(50)
